time,asset,strategy,side,prob,entry,exit,pnl,status
2026-04-04T03:57:16.382Z,SOL,momentum,UP,0.3300,0.350000,0.000000,-3.930000,LOSS
2026-04-04T03:57:26.394Z,SOL,momentum,UP,0.3300,0.350000,0.000000,-6.040000,LOSS
2026-04-04T03:57:31.415Z,SOL,momentum,UP,0.3350,0.360000,0.000000,-6.210000,LOSS
2026-04-04T03:57:36.421Z,SOL,momentum,UP,0.3300,0.326056,0.000000,-9.290000,LOSS
2026-04-04T03:57:41.436Z,SOL,momentum,UP,0.3150,0.320000,0.000000,-5.520000,LOSS
2026-04-04T03:57:46.437Z,BTC,momentum,UP,0.3450,0.350000,0.000000,-31.320000,LOSS
2026-04-04T03:57:51.437Z,SOL,momentum,UP,0.3150,0.320000,0.000000,-3.590000,LOSS
2026-04-04T03:57:56.452Z,SOL,momentum,UP,0.1650,0.200000,0.000000,-3.250000,LOSS
2026-04-04T03:58:01.470Z,SOL,momentum,UP,0.1200,0.130000,0.000000,-3.120000,LOSS
2026-04-04T03:58:06.487Z,SOL,momentum,UP,0.1150,0.130000,0.000000,-2.760000,LOSS
2026-04-04T03:58:11.495Z,SOL,momentum,UP,0.1150,0.130000,0.000000,-7.720000,LOSS
2026-04-04T03:58:16.506Z,SOL,momentum,UP,0.1000,0.110000,0.000000,-2.930000,LOSS
2026-04-04T03:58:26.524Z,SOL,momentum,UP,0.0950,0.110000,0.000000,-2.930000,LOSS
2026-04-04T03:58:31.537Z,SOL,momentum,DOWN,0.9000,0.910000,1.000000,3.840000,WIN
2026-04-04T03:58:36.541Z,SOL,momentum,UP,0.0950,0.110000,0.000000,-0.550000,LOSS
2026-04-04T03:58:46.565Z,ETH,momentum,UP,0.1200,0.130000,0.000000,-2.340000,LOSS
2026-04-04T03:58:51.589Z,SOL,momentum,UP,0.1050,0.110000,0.000000,-1.630000,LOSS
2026-04-04T03:58:56.615Z,SOL,momentum,UP,0.1050,0.110000,0.000000,-5.500000,LOSS
2026-04-04T03:59:01.624Z,SOL,momentum,UP,0.0950,0.150000,0.000000,-0.680000,LOSS
2026-04-04T03:59:06.625Z,SOL,momentum,UP,0.1300,0.140000,0.000000,-2.270000,LOSS
2026-04-04T03:59:11.651Z,SOL,momentum,UP,0.1150,0.110000,0.000000,-3.700000,LOSS
2026-04-04T03:59:16.668Z,SOL,momentum,UP,0.0950,0.100000,0.000000,-1.730000,LOSS
2026-04-04T03:59:26.687Z,SOL,momentum,UP,0.0650,0.070000,0.000000,-0.360000,LOSS
2026-04-04T03:59:31.690Z,SOL,momentum,UP,0.0550,0.060000,0.000000,-5.340000,LOSS
2026-04-04T04:00:06.774Z,XRP,momentum,UP,0.4450,0.450000,0.000000,-30.240000,LOSS
2026-04-04T04:00:11.792Z,XRP,momentum,UP,0.4450,0.450000,0.000000,-24.820000,LOSS
2026-04-04T04:00:16.795Z,XRP,momentum,UP,0.4650,0.490000,0.000000,-19.320000,LOSS
2026-04-04T04:00:26.825Z,XRP,momentum,UP,0.3650,0.400000,0.000000,-14.450000,LOSS
2026-04-04T04:00:31.845Z,XRP,momentum,UP,0.3650,0.400000,0.000000,-12.810000,LOSS
2026-04-04T04:00:36.862Z,XRP,momentum,UP,0.3450,0.360000,0.000000,-9.850000,LOSS
2026-04-04T04:00:41.872Z,XRP,momentum,UP,0.3450,0.360000,0.000000,-1.810000,LOSS
2026-04-04T04:00:46.877Z,XRP,momentum,UP,0.3300,0.360000,0.000000,-1.810000,LOSS
2026-04-04T04:00:51.886Z,XRP,momentum,UP,0.3300,0.360000,0.000000,-1.810000,LOSS
2026-04-04T04:00:56.892Z,XRP,momentum,DOWN,0.6700,0.700000,1.000000,1.060000,WIN
2026-04-04T04:01:06.909Z,XRP,momentum,UP,0.3150,0.370000,0.000000,-1.860000,LOSS
2026-04-04T04:01:11.925Z,XRP,momentum,UP,0.1450,0.260000,0.000000,-20.860000,LOSS
2026-04-04T04:01:16.940Z,XRP,momentum,UP,0.2350,0.250000,0.000000,-20.700000,LOSS
2026-04-04T04:01:26.972Z,XRP,momentum,UP,0.2300,0.240000,0.000000,-4.970000,LOSS
2026-04-04T04:01:31.978Z,XRP,momentum,DOWN,0.7700,0.780000,1.000000,21.470000,WIN
2026-04-04T04:01:36.988Z,XRP,momentum,UP,0.2300,0.240000,0.000000,-20.660000,LOSS
2026-04-04T04:01:47.020Z,BTC,momentum,UP,0.2250,0.230000,0.000000,-24.540000,LOSS
2026-04-04T04:01:52.032Z,XRP,momentum,UP,0.2250,0.230000,1.000000,106.230000,WIN
2026-04-04T04:01:57.037Z,XRP,momentum,UP,0.2250,0.230000,1.000000,106.230000,WIN
2026-04-04T04:02:07.055Z,XRP,momentum,UP,0.2250,0.230000,1.000000,93.030000,WIN
2026-04-04T04:02:12.066Z,XRP,momentum,UP,0.2250,0.230000,1.000000,43.080000,WIN
2026-04-04T04:02:17.077Z,XRP,momentum,UP,0.2250,0.230000,1.000000,89.560000,WIN
2026-04-04T04:02:27.099Z,XRP,momentum,UP,0.2250,0.230000,1.000000,117.810000,WIN
2026-04-04T04:02:32.101Z,XRP,momentum,UP,0.2250,0.230000,1.000000,46.930000,WIN
2026-04-04T04:02:37.111Z,XRP,momentum,UP,0.2250,0.230000,1.000000,122.320000,WIN
2026-04-04T04:02:52.132Z,XRP,momentum,UP,0.2250,0.230000,0.000000,-36.680000,LOSS
2026-04-04T04:02:57.145Z,XRP,momentum,UP,0.2250,0.230000,0.000000,-44.770000,LOSS
2026-04-04T04:03:07.164Z,XRP,momentum,DOWN,0.7750,0.780000,1.000000,19.770000,WIN
